Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Fazalhaq Farooqi (AFG),2024-2024,8,8,152,25.2,-,160,17,9-May,9.41,6.31,8.94,1,1
Arshdeep Singh (IND),2024-2024,8,8,180,30,-,215,17,9-Apr,12.64,7.16,10.58,1,-
JJ Bumrah (IND),2024-2024,8,8,178,29.4,2,124,15,7-Mar,8.26,4.17,11.86,-,-
A Nortje (SA),2024-2024,9,9,210,35,-,201,15,7-Apr,13.4,5.74,14,1,-
Rashid Khan (AFG),2024-2024,8,8,174,29,-,179,14,17-Apr,12.78,6.17,12.42,2,-
Rishad Hossain (BAN),2024-2024,7,7,150,25,-,194,14,22-Mar,13.85,7.76,10.71,-,-
Naveen-ul-Haq (AFG),2024-2024,8,8,160,26.4,-,160,13,26-Apr,12.3,6,12.3,1,-
AS Joseph (WI),2024-2024,7,7,147,24.3,-,177,13,19-Apr,13.61,7.22,11.3,1,-
A Zampa (AUS),2024-2024,7,7,168,28,-,187,13,12-Apr,14.38,6.67,12.92,1,-
K Rabada (SA),2024-2024,9,9,186,31,2,195,13,18-Mar,15,6.29,14.3,-,-
T Shamsi (SA),2024-2024,5,5,101,16.5,-,128,11,19-Apr,11.63,7.6,9.18,1,-
AD Russell (WI),2024-2024,7,7,121,20.1,-,141,11,31-Mar,12.81,6.99,11,-,-
Tanzim Hasan Sakib (BAN),2024-2024,7,7,144,24,2,149,11,7-Apr,13.54,6.2,13.09,1,-
KA Maharaj (SA),2024-2024,8,8,168,28,-,175,11,27-Mar,15.9,6.25,15.27,-,-
HH Pandya (IND),2024-2024,8,8,150,25,2,191,11,20-Mar,17.36,7.64,13.63,-,-
CJ Jordan (ENG),2024-2024,5,5,83,13.5,-,134,10,10-Apr,13.4,9.68,8.3,1,-
Kuldeep Yadav (IND),2024-2024,5,5,120,20,-,139,10,19-Mar,13.9,6.95,12,-,-
MP Stoinis (AUS),2024-2024,7,6,102,17,-,151,10,19-Mar,15.1,8.88,10.2,-,-
AU Rashid (ENG),2024-2024,8,8,168,28,-,186,10,11-Apr,18.6,6.64,16.8,1,-
JC Archer (ENG),2024-2024,8,8,158,26.2,1,190,10,12-Mar,19,7.21,15.8,-,-
TA Boult (NZ),2024-2024,4,4,96,16,2,59,9,16-Mar,6.55,3.68,10.66,-,-
AJ Hosein (WI),2024-2024,7,7,150,25,1,141,9,11-May,15.66,5.64,16.66,-,1
PJ Cummins (AUS),2024-2024,5,5,114,19,1,144,9,28-Mar,16,7.57,12.66,-,-
AR Patel (IND),2024-2024,8,8,132,22,1,173,9,23-Mar,19.22,7.86,14.66,-,-
N Thushara (SL),2024-2024,3,3,64,10.4,-,60,8,18-Apr,7.5,5.62,8,1,-
Taskin Ahmed (BAN),2024-2024,6,6,128,21.2,1,137,8,19-Feb,17.12,6.42,16,-,-
Mustafizur Rahman (BAN),2024-2024,7,7,156,26,1,142,8,7-Mar,17.75,5.46,19.5,-,-
G Motie (WI),2024-2024,7,7,126,21,-,149,8,25-Mar,18.62,7.09,15.75,-,-
TG Southee (NZ),2024-2024,3,3,72,12,1,36,7,4-Mar,5.14,3,10.28,-,-
Gulbadin Naib (AFG),2024-2024,8,4,54,9,-,47,7,20-Apr,6.71,5.22,7.71,1,-
LH Ferguson (NZ),2024-2024,4,4,96,16,4,64,7,Mar-00,9.14,4,13.71,-,-
Mohammad Amir (PAK),2024-2024,4,4,96,16,1,72,7,11-Feb,10.28,4.5,13.71,-,-
RL Chase (WI),2024-2024,6,5,90,15,-,80,7,12-Mar,11.42,5.33,12.85,-,-
Haris Rauf (PAK),2024-2024,4,4,90,15,-,101,7,21-Mar,14.42,6.73,12.85,-,-
R Trumpelmann (NAM),2024-2024,4,4,72,12,-,107,7,21-Apr,15.28,8.91,10.28,1,-
LV van Beek (NED),2024-2024,4,4,92,15.2,1,127,7,18-Mar,18.14,8.28,13.14,-,-
M Jansen (SA),2024-2024,9,9,187,31.1,-,213,7,16-Mar,30.42,6.83,26.71,-,-
DS Airee (NEP),2024-2024,3,3,57,9.3,-,49,6,21-Mar,8.16,5.15,9.5,-,-
Mehran Khan (OMA),2024-2024,4,3,48,8,1,61,6,7-Mar,10.16,7.62,8,-,-
PW Hasaranga (SL),2024-2024,3,3,68,11.2,-,79,6,22-Feb,13.16,6.97,11.33,-,-
OEG Baartman (SA),2024-2024,5,5,114,19,1,94,6,11-Apr,15.66,4.94,19,1,-
SN Netravalkar (USA),2024-2024,6,6,113,18.5,-,125,6,18-Feb,20.83,6.63,18.83,-,-
D Heyliger (CAN),2024-2024,3,3,66,11,-,55,5,18-Feb,11,5,13.2,-,-
BJ McCarthy (IRE),2024-2024,3,3,62,10.2,1,57,5,15-Mar,11.4,5.51,12.4,-,-
B Masaba (UGA),2024-2024,4,3,72,12,-,69,5,21-Feb,13.8,5.75,14.4,-,-
Naseem Shah (PAK),2024-2024,3,3,72,12,-,71,5,21-Mar,14.2,5.91,14.4,-,-
D Wiese (NAM),2024-2024,4,4,61,10.1,-,79,5,28-Mar,15.8,7.77,12.2,-,-
BTJ Wheal (SCOT),2024-2024,4,3,70,11.4,1,80,5,Mar-33,16,6.85,14,-,-
PA van Meekeren (NED),2024-2024,4,4,90,15,1,84,5,15-Feb,16.8,5.6,18,-,-
C Kyewuta (UGA),2024-2024,4,4,79,13.1,-,97,5,17-Feb,19.4,7.36,15.8,-,-
TJG Pringle (NED),2024-2024,4,4,78,13,-,101,5,20-Mar,20.2,7.76,15.6,-,-
Shaheen Shah Afridi (PAK),2024-2024,4,4,96,16,-,105,5,22-Mar,21,6.56,19.2,-,-
MA Starc (AUS),2024-2024,5,5,108,18,-,154,5,20-Feb,30.8,8.55,21.6,-,-
K Bhurtel (NEP),2024-2024,3,2,48,8,-,41,4,19-Apr,10.25,5.12,12,1,-
AR Ramjani (UGA),2024-2024,4,3,66,11,1,66,4,17-Feb,16.5,6,16.5,-,-
A Nao (PNG),2024-2024,4,4,78,13,1,73,4,16-Feb,18.25,5.61,19.5,-,-
NT Ellis (AUS),2024-2024,3,3,66,11,1,74,4,28-Feb,18.5,6.72,16.5,-,-
MJ Santner (NZ),2024-2024,4,4,82,13.4,-,76,4,8-Feb,19,5.56,20.5,-,-
MG Erasmus (NAM),2024-2024,4,4,66,11,-,81,4,20-Feb,20.25,7.36,16.5,-,-
SM Sharif (SCOT),2024-2024,2,2,48,8,-,82,4,Feb-40,20.5,10.25,12,-,-
Bilal Khan (OMA),2024-2024,4,4,73,12.1,-,109,4,12-Jan,27.25,8.95,18.25,-,-
Harmeet Singh (USA),2024-2024,6,5,96,16,-,139,4,24-Feb,34.75,8.68,24,-,-
JR Hazlewood (AUS),2024-2024,6,6,144,24,1,145,4,18-Feb,36.25,6.04,36,-,-
Sompal Kami (NEP),2024-2024,3,3,54,9,1,34,3,10-Feb,11.33,3.77,18,-,-
A Dutt (NED),2024-2024,2,2,42,7,-,40,3,17-Feb,13.33,5.71,14,-,-
A Vala (PNG),2024-2024,4,3,42,7,1,42,3,28-Feb,14,6,14,-,-
N Vanua (PNG),2024-2024,3,3,48,8,-,43,3,19-Feb,14.33,5.37,16,-,-
Imad Wasim (PAK),2024-2024,3,3,66,11,-,44,3,8-Mar,14.66,4,22,-,-
OC McCoy (WI),2024-2024,3,3,37,6.1,-,49,3,14-Mar,16.33,7.94,12.33,-,-
M Pathirana (SL),2024-2024,3,3,60,10,-,51,3,12-Feb,17,5.1,20,-,-
BM Scholtz (NAM),2024-2024,4,3,60,10,-,64,3,20-Jan,21.33,6.4,20,-,-
MM Ali (ENG),2024-2024,8,4,54,9,-,73,3,15-Jan,24.33,8.11,18,-,-
MR Adair (IRE),2024-2024,3,3,72,12,-,74,3,23-Jan,24.66,6.16,24,-,-
JOA Gordon (CAN),2024-2024,3,3,63,10.3,-,77,3,16-Feb,25.66,7.33,21,-,-
VJ Kingma (NED),2024-2024,4,4,78,13,1,78,3,12-Feb,26,6,26,-,-
LS Livingstone (ENG),2024-2024,8,4,66,11,-,83,3,15-Jan,27.66,7.54,22,-,-
Mohammad Nabi (AFG),2024-2024,8,7,78,13,-,88,3,16-Feb,29.33,6.76,26,-,-
NP Kenjige (USA),2024-2024,4,4,60,10,-,89,3,30-Mar,29.66,8.9,20,-,-
MRJ Watt (SCOT),2024-2024,4,3,72,12,-,98,3,Feb-34,32.66,8.16,24,-,-
